21:09:44,108 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting AppStarter on DESKTOP-I4IQLD5 with PID 45436 (D:\Projects\xp-management\target\classes started by Yuhao in D:\Projects\xp-management)
21:09:44,108 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] No active profile set, falling back to default profiles: default
21:09:45,225 INFO  [com.platform.cloud.xpmanagement.ModuleConfiguration] [main] PROPERTIES: 'name=Experience Management'
21:09:45,826 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Application stopped.
21:11:10,643 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting Experience Management with version: null
21:11:10,957 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting AppStarter on DESKTOP-I4IQLD5 with PID 18252 (D:\Projects\xp-management\target\classes started by Yuhao in D:\Projects\xp-management)
21:11:10,958 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] No active profile set, falling back to default profiles: default
21:11:12,050 INFO  [com.platform.cloud.xpmanagement.ModuleConfiguration] [main] PROPERTIES: 'name=Experience Management'
21:11:12,962 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Application stopped.
21:15:54,802 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting Experience Management with version: null
21:15:55,114 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting AppStarter on DESKTOP-I4IQLD5 with PID 53740 (D:\Projects\xp-management\target\classes started by Yuhao in D:\Projects\xp-management)
21:15:55,115 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] No active profile set, falling back to default profiles: default
21:15:56,244 INFO  [com.platform.cloud.xpmanagement.ModuleConfiguration] [main] PROPERTIES: 'name=Experience Management'
21:15:57,590 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Started AppStarter in 2.681 seconds (JVM running for 3.149)
21:15:57,592 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Application started.
21:19:03,307 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting Experience Management with version: null
21:19:03,617 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting AppStarter on DESKTOP-I4IQLD5 with PID 64924 (D:\Projects\xp-management\target\classes started by Yuhao in D:\Projects\xp-management)
21:19:03,618 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] No active profile set, falling back to default profiles: default
21:19:04,711 INFO  [com.platform.cloud.xpmanagement.ModuleConfiguration] [main] PROPERTIES: 'name=Experience Management'
21:19:05,310 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Application stopped.
21:20:07,267 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting Experience Management with version: null
21:20:07,577 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting AppStarter on DESKTOP-I4IQLD5 with PID 73176 (D:\Projects\xp-management\target\classes started by Yuhao in D:\Projects\xp-management)
21:20:07,577 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] No active profile set, falling back to default profiles: default
21:20:08,678 INFO  [com.platform.cloud.xpmanagement.ModuleConfiguration] [main] PROPERTIES: 'name=Experience Management'
21:20:09,275 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Application stopped.
21:21:00,175 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting Experience Management with version: null
21:21:00,524 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting AppStarter on DESKTOP-I4IQLD5 with PID 55280 (D:\Projects\xp-management\target\classes started by Yuhao in D:\Projects\xp-management)
21:21:00,525 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] No active profile set, falling back to default profiles: default
21:21:01,985 INFO  [com.platform.cloud.xpmanagement.ModuleConfiguration] [main] PROPERTIES: 'name=Experience Management'
21:21:03,905 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Started AppStarter in 3.607 seconds (JVM running for 4.134)
21:21:03,907 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Application started.
21:28:26,397 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting Experience Management with version: null
21:28:26,705 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting AppStarter on DESKTOP-I4IQLD5 with PID 39316 (D:\Projects\xp-management\target\classes started by Yuhao in D:\Projects\xp-management)
21:28:26,706 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] No active profile set, falling back to default profiles: default
21:28:27,796 INFO  [com.platform.cloud.xpmanagement.ModuleConfiguration] [main] PROPERTIES: 'name=Experience Management'
21:28:29,127 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Started AppStarter in 2.622 seconds (JVM running for 3.086)
21:28:29,128 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Application started.
21:39:17,166 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting Experience Management with version: null
21:39:17,471 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting AppStarter on DESKTOP-I4IQLD5 with PID 10504 (D:\Projects\xp-management\target\classes started by Yuhao in D:\Projects\xp-management)
21:39:17,472 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] No active profile set, falling back to default profiles: default
21:39:18,552 INFO  [com.platform.cloud.xpmanagement.ModuleConfiguration] [main] PROPERTIES: 'name=Experience Management'
21:39:19,921 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Started AppStarter in 2.647 seconds (JVM running for 3.104)
21:39:19,922 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Application started.
21:39:35,735 INFO  [com.platform.cloud.xpmanagement.controller.ExperienceServiceController] [http-nio-8081-exec-2] Updating a experience with PLAYER_ID: 12 and points: 100
21:39:35,819 INFO  [com.platform.cloud.xpmanagement.controller.ExperienceServiceController] [http-nio-8081-exec-2] The experience does not exist in DB.
21:39:35,819 INFO  [com.platform.cloud.xpmanagement.controller.ExperienceServiceController] [http-nio-8081-exec-2] Creating a new experience.
21:40:20,585 INFO  [com.platform.cloud.xpmanagement.controller.ExperienceServiceController] [http-nio-8081-exec-4] Getting a experience with PLAYER_ID: 12
21:40:20,587 INFO  [com.platform.cloud.xpmanagement.controller.ExperienceServiceController] [http-nio-8081-exec-4] The experience does not exist in DB.
21:40:20,587 INFO  [com.platform.cloud.xpmanagement.controller.ExperienceServiceController] [http-nio-8081-exec-4] Creating a new experience.
22:12:17,095 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting Experience Management with version: null
22:12:17,408 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting AppStarter on DESKTOP-I4IQLD5 with PID 43640 (D:\Projects\xp-management\target\classes started by Yuhao in D:\Projects\xp-management)
22:12:17,409 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] No active profile set, falling back to default profiles: default
22:12:18,504 INFO  [com.platform.cloud.xpmanagement.ModuleConfiguration] [main] PROPERTIES: 'name=Experience Management'
22:12:19,842 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Application stopped.
22:18:29,380 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting Experience Management with version: null
22:18:29,696 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting AppStarter on DESKTOP-I4IQLD5 with PID 70128 (D:\Projects\xp-management\target\classes started by Yuhao in D:\Projects\xp-management)
22:18:29,697 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] No active profile set, falling back to default profiles: default
22:18:30,805 INFO  [com.platform.cloud.xpmanagement.ModuleConfiguration] [main] PROPERTIES: 'name=Experience Management'
